DATE,UNEMPLOY
2002-02-01,8215
2002-03-01,8304
2002-04-01,8599
2002-05-01,8399
2002-06-01,8393
2002-07-01,8390
2002-08-01,8304
2002-09-01,8251
2002-10-01,8307
2002-11-01,8520
2002-12-01,8640
2003-01-01,8520
2003-02-01,8618
2003-03-01,8588
2003-04-01,8842
2003-05-01,8957
2003-06-01,9266
2003-07-01,9011
2003-08-01,8896
2003-09-01,8921
2003-10-01,8732
2003-11-01,8576
2003-12-01,8317
2004-01-01,8370
2004-02-01,8167
2004-03-01,8491
2004-04-01,8170
2004-05-01,8212
2004-06-01,8286
2004-07-01,8136
2004-08-01,7990
2004-09-01,7927
2004-10-01,8061
2004-11-01,7932
2004-12-01,7934
2005-01-01,7784
2005-02-01,7980
2005-03-01,7737
2005-04-01,7672
2005-05-01,7651
2005-06-01,7524
2005-07-01,7406
2005-08-01,7345
2005-09-01,7553
2005-10-01,7453
2005-11-01,7566
2005-12-01,7279
2006-01-01,7064
2006-02-01,7184
2006-03-01,7072
2006-04-01,7120
2006-05-01,6980
2006-06-01,7001
2006-07-01,7175
2006-08-01,7091
2006-09-01,6847
2006-10-01,6727
2006-11-01,6872
2006-12-01,6762
2007-01-01,7116
2007-02-01,6927
2007-03-01,6731
2007-04-01,6850
2007-05-01,6766
2007-06-01,6979
2007-07-01,7149
2007-08-01,7067
2007-09-01,7170
2007-10-01,7237
2007-11-01,7240
2007-12-01,7645
2008-01-01,7685
2008-02-01,7497
2008-03-01,7822
2008-04-01,7637
2008-05-01,8395
2008-06-01,8575
2008-07-01,8937
2008-08-01,9438
2008-09-01,9494
2008-10-01,10074
2008-11-01,10538
2008-12-01,11286
2009-01-01,12058
2009-02-01,12898
2009-03-01,13426
2009-04-01,13853
2009-05-01,14499
2009-06-01,14707
2009-07-01,14601
2009-08-01,14814
2009-09-01,15009
2009-10-01,15352
2009-11-01,15219
2009-12-01,15098
2010-01-01,15046
2010-02-01,15113
2010-03-01,15202
2010-04-01,15325
2010-05-01,14849
2010-06-01,14474
2010-07-01,14512
2010-08-01,14648
2010-09-01,14579
2010-10-01,14516
2010-11-01,15081
2010-12-01,14348
2011-01-01,14013
2011-02-01,13820
2011-03-01,13737
2011-04-01,13957
2011-05-01,13855
2011-06-01,13962
2011-07-01,13763
2011-08-01,13818
2011-09-01,13948
2011-10-01,13594
2011-11-01,13302
2011-12-01,13093
2012-01-01,12797
2012-02-01,12813
2012-03-01,12713
2012-04-01,12646
2012-05-01,12660
2012-06-01,12692
2012-07-01,12656
2012-08-01,12471
2012-09-01,12115
2012-10-01,12124
2012-11-01,12005
2012-12-01,12298
2013-01-01,12471
2013-02-01,11950
2013-03-01,11689
2013-04-01,11760
2013-05-01,11654
2013-06-01,11751
2013-07-01,11335
2013-08-01,11279
2013-09-01,11270
2013-10-01,11136
2013-11-01,10787
2013-12-01,10404
2014-01-01,10202
2014-02-01,10349
2014-03-01,10380
2014-04-01,9702
2014-05-01,9859
2014-06-01,9460
2014-07-01,9608
2014-08-01,9599
2014-09-01,9262
2014-10-01,8990
2014-11-01,9090
2014-12-01,8717
2015-01-01,8885
2015-02-01,8599
2015-03-01,8515
2015-04-01,8550
2015-05-01,8834
2015-06-01,8247
2015-07-01,8167
2015-08-01,7992
2015-09-01,7907
2015-10-01,7922
2015-11-01,8000
2015-12-01,7907
2016-01-01,7627
2016-02-01,7702
2016-03-01,7961
2016-04-01,8067
2016-05-01,7652
2016-06-01,7744
2016-07-01,7641
2016-08-01,7784
2016-09-01,7953
2016-10-01,7811
2016-11-01,7553
2016-12-01,7521
2017-01-01,7468
2017-02-01,7379
2017-03-01,7073
2017-04-01,7089
2017-05-01,7000
2017-06-01,6873
2017-07-01,6892
2017-08-01,7082
2017-09-01,6854
2017-10-01,6700
2017-11-01,6774
2017-12-01,6632
2018-01-01,6489
2018-02-01,6581
2018-03-01,6472
2018-04-01,6459
2018-05-01,6196
2018-06-01,6447
2018-07-01,6195
2018-08-01,6156
2018-09-01,6073
2018-10-01,6211
2018-11-01,6115
2018-12-01,6389
2019-01-01,6475
2019-02-01,6136
2019-03-01,6202
2019-04-01,5961
2019-05-01,5930
2019-06-01,5935
2019-07-01,6061
2019-08-01,5945
2019-09-01,5753
2019-10-01,5871
2019-11-01,5868
2019-12-01,5853
2020-01-01,5842
2020-02-01,5729
2020-03-01,7209
2020-04-01,23090
2020-05-01,20933
2020-06-01,17658
2020-07-01,16391
2020-08-01,13498
2020-09-01,12573
2020-10-01,11012
2020-11-01,10713
2020-12-01,10772
2021-01-01,10196
2021-02-01,9992
2021-03-01,9734
2021-04-01,9801
2021-05-01,9250
2021-06-01,9547
2021-07-01,8770
2021-08-01,8288
2021-09-01,7659
2021-10-01,7244
2021-11-01,6733
2021-12-01,6305
2022-01-01,6549
2022-02-01,6279
2022-03-01,5993
2022-04-01,6034
2022-05-01,5966
2022-06-01,5984
2022-07-01,5783
2022-08-01,5983
2022-09-01,5755
2022-10-01,5950
2022-11-01,5956
2022-12-01,5698
2023-01-01,5719
2023-02-01,5962
2023-03-01,5866
2023-04-01,5715
2023-05-01,6117
2023-06-01,5997
2023-07-01,5904
2023-08-01,6340
2023-09-01,6347
2023-10-01,6443
2023-11-01,6262
2023-12-01,6268
2024-01-01,6124
